epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,401.493,0.68457,0.98362,0.64432,0.97189,0.85638,0.88617,0.89979,0.71524,0.82501,0.85892,0.8463,0.55468,0.71639,1.59287,0.76766,0.97352,8.90339e-05,8.90339e-05,8.90339e-05
110,405.239,0.67271,1.01575,0.63557,0.979,0.85606,0.89943,0.89415,0.71385,0.82062,0.83515,0.82264,0.55409,0.73443,1.57121,0.78663,0.98068,8.88379e-05,8.88379e-05,8.88379e-05
111,408.787,0.6652,1.03501,0.62392,0.97552,0.82259,0.91819,0.88627,0.70388,0.77739,0.86676,0.81406,0.53521,0.75572,1.60753,0.81215,0.99214,8.86404e-05,8.86404e-05,8.86404e-05
112,412.348,0.72623,1.19868,0.66266,0.99743,0.8441,0.89457,0.90102,0.71279,0.7898,0.82423,0.8012,0.53682,0.74485,1.6756,0.79285,0.98834,8.84414e-05,8.84414e-05,8.84414e-05
113,416.065,0.66361,0.97236,0.61767,0.95755,0.87294,0.86974,0.89228,0.71082,0.81805,0.80699,0.8115,0.54127,0.73698,1.68157,0.80085,0.9882,8.82409e-05,8.82409e-05,8.82409e-05
114,419.611,0.66301,1.00266,0.60783,0.97097,0.88778,0.88442,0.88764,0.71108,0.83105,0.83349,0.80966,0.53963,0.72424,1.63936,0.81546,0.98629,8.80389e-05,8.80389e-05,8.80389e-05
115,423.29,0.67255,1.09636,0.62515,0.97598,0.83858,0.91382,0.88604,0.68929,0.77931,0.85374,0.80032,0.53533,0.76411,1.60079,0.82993,0.99853,8.78354e-05,8.78354e-05,8.78354e-05
116,426.853,0.73746,1.09645,0.643,0.98565,0.82375,0.92722,0.88919,0.68647,0.76206,0.86359,0.80074,0.53374,0.78052,1.56288,0.83789,1.00857,8.76305e-05,8.76305e-05,8.76305e-05
117,430.472,0.65125,0.92834,0.60014,0.97681,0.84872,0.87382,0.88558,0.70298,0.79769,0.80726,0.79023,0.52752,0.75337,1.53142,0.85054,1.00424,8.74241e-05,8.74241e-05,8.74241e-05
118,434.022,0.68554,1.06515,0.60621,0.97888,0.83145,0.88934,0.88416,0.70247,0.81121,0.81573,0.81331,0.531,0.76259,1.5305,0.85221,1.00218,8.72162e-05,8.72162e-05,8.72162e-05
119,437.523,0.67829,1.06079,0.63918,0.98457,0.833,0.8983,0.87973,0.69477,0.81006,0.84052,0.81444,0.53259,0.75613,1.55351,0.8379,0.99673,8.70069e-05,8.70069e-05,8.70069e-05
120,441.092,0.65501,1.09086,0.62063,0.96552,0.83309,0.90934,0.87698,0.68516,0.8016,0.85102,0.81852,0.53039,0.76429,1.59359,0.84429,1.00448,8.67961e-05,8.67961e-05,8.67961e-05
121,444.782,0.67343,1.01404,0.6281,0.97908,0.83968,0.91108,0.87959,0.69194,0.80511,0.84163,0.8087,0.52099,0.76102,1.61534,0.84182,1.00753,8.65839e-05,8.65839e-05,8.65839e-05
